0,1,2,3,4,5,6,7
bb8,BB-8_98,365,648,526,314,338,75
bb8,BB-8_99,471,843,843,671,325,88
bb8,BB-8_100,320,644,644,410,319,140
bb8,BB-8_101,357,376,369,10,357,45
r2d2,R2-D2_1,298,530,493,230,294,1
r2d2,R2-D2_2,540,720,399,117,483,75
r2d2,R2-D2_3,534,950,498,239,534,199
r2d2,R2-D2_4,534,950,917,545,512,22
r2d2,R2-D2_5,600,990,916,307,600,11
r2d2,R2-D2_6,437,634,289,60,436,111
r2d2,R2-D2_7,977,634,419,30,943,401
r2d2,R2-D2_8,619,962,765,590,598,337
r2d2,R2-D2_9,300,600,600,273,299,1
r2d2,R2-D2_10,395,614,523,419,337,166
r2d2,R2-D2_11,537,720,719,631,397,166
r2d2,R2-D2_12,300,600,495,265,300,22
r2d2,R2-D2_13,464,610,343,111,403,65
r2d2,R2-D2_14,800,582,347,143,714,383
r2d2,R2-D2_15,350,600,423,225,310,33
r2d2,R2-D2_16,563,750,290,121,563,339
r2d2,R2-D2_17,410,640,342,57,410,21
r2d2,R2-D2_18,558,838,727,120,558,17
r2d2,R2-D2_19,1137,721,403,26,968,413
r2d2,R2-D2_20,500,800,509,320,467,190
r2d2,R2-D2_21,590,990,468,191,539,135
r2d2,R2-D2_22,711,1059,831,596,639,276
r2d2,R2-D2_23,375,900,803,552,375,247
r2d2,R2-D2_24,640,427,236,49,602,279
r2d2,R2-D2_25,281,179,175,1,278,4
r2d2,R2-D2_26,446,640,562,421,422,192
r2d2,R2-D2_27,480,853,157,45,392,172
r2d2,R2-D2_28,600,900,666,404,579,201
r2d2,R2-D2_29,402,715,626,78,402,2
r2d2,R2-D2_30,270,480,346,57,270,32
r2d2,R2-D2_31,360,480,264,114,342,253
r2d2,R2-D2_32,360,480,379,102,306,59
r2d2,R2-D2_33,360,480,215,41,314,43
r2d2,R2-D2_34,360,480,366,139,311,79
r2d2,R2-D2_35,360,480,243,7,358,108
r2d2,R2-D2_36,360,480,359,125,351,8
r2d2,R2-D2_37,349,620,405,215,339,9
r2d2,R2-D2_38,284,178,171,6,278,7
r2d2,R2-D2_39,600,600,480,114,581,24
r2d2,R2-D2_40,373,604,313,16,373,62
r2d2,R2-D2_41,490,980,714,476,490,247
r2d2,R2-D2_42,640,512,413,108,624,136
r2d2,R2-D2_43,720,1280,911,658,625,446
r2d2,R2-D2_44,720,1280,928,742,624,448
r2d2,R2-D2_45,1080,1920,1191,261,1080,150
r2d2,R2-D2_46,800,800,512,277,715,111
r2d2,R2-D2_47,422,640,626,314,422,100
r2d2,R2-D2_48,505,392,336,32,502,30
r2d2,R2-D2_49,624,960,501,223,624,219
r2d2,R2-D2_50,675,1200,649,250,571,64
r2d2,R2-D2_51,350,350,350,1,349,1
r2d2,R2-D2_52,960,720,646,121,957,27
r2d2,R2-D2_53,268,408,369,205,268,85
r2d2,R2-D2_54,534,800,705,377,502,59
r2d2,R2-D2_55,376,610,342,98,368,22
r2d2,R2-D2_56,300,600,581,435,276,27
r2d2,R2-D2_57,867,600,490,73,605,45
r2d2,R2-D2_58,500,800,655,267,499,43
r2d2,R2-D2_59,731,1300,947,469,694,157
r2d2,R2-D2_60,470,700,390,329,267,154
r2d2,R2-D2_61,288,460,195,65,279,112
r2d2,R2-D2_62,432,768,707,340,429,55
r2d2,R2-D2_63,290,455,349,176,290,4
r2d2,R2-D2_64,480,853,525,96,419,86
r2d2,R2-D2_65,882,1920,998,553,795,330
r2d2,R2-D2_66,346,512,512,294,345,21
r2d2,R2-D2_67,450,284,274,14,442,9
r2d2,R2-D2_68,380,380,288,62,359,28
r2d2,R2-D2_69,481,609,458,250,339,58
r2d2,R2-D2_70,376,834,417,177,333,84
r2d2,R2-D2_71,396,704,447,171,380,29
r2d2,R2-D2_72,400,655,499,192,400,14
r2d2,R2-D2_73,405,720,329,34,405,22
r2d2,R2-D2_74,303,450,320,147,303,141
r2d2,R2-D2_75,348,620,355,138,348,79
r2d2,R2-D2_76,436,661,247,113,403,153
r2d2,R2-D2_77,433,768,351,4,433,16
r2d2,R2-D2_78,592,624,570,81,592,8
r2d2,R2-D2_79,350,625,244,13,350,81
r2d2,R2-D2_80,280,500,411,1,280,1
r2d2,R2-D2_81,320,620,578,205,320,8
r2d2,R2-D2_82,960,720,664,70,960,19
r2d2,R2-D2_83,960,720,626,76,891,61
r2d2,R2-D2_84,400,600,517,286,400,167
r2d2,R2-D2_85,1000,667,584,95,883,131
r2d2,R2-D2_86,800,800,550,18,792,6
r2d2,R2-D2_87,600,990,863,258,600,32
r2d2,R2-D2_88,632,1200,1174,1,632,26
r2d2,R2-D2_89,447,1000,503,289,447,263
r2d2,R2-D2_90,683,1024,879,1,683,1
r2d2,R2-D2_91,529,970,783,576,514,173
r2d2,R2-D2_92,337,550,381,171,327,10
r2d2,R2-D2_93,318,600,396,189,318,57
r2d2,R2-D2_94,900,600,486,113,741,161
r2d2,R2-D2_95,746,560,547,17,733,1
r2d2,R2-D2_96,700,500,492,316,636,388
r2d2,R2-D2_97,306,656,318,198,284,47
r2d2,R2-D2_98,381,545,274,4,380,4
r2d2,R2-D2_99,617,1084,547,365,447,206
r2d2,R2-D2_100,383,900,436,240,382,212
r2d2,R2-D2_101,644,840,681,517,591,356
